timestamp,obsv_id,target_id,x,y,z
1734523534.828765869,1,5,-0.001449725,4.012233733,0.204358401
1734523534.828765869,1,6,-7.751414735,-3.942691464,-0.034567825
1734523534.828765869,1,7,-7.183551880,3.572732557,0.033755084
1734523534.828765869,1,8,0.049987552,-4.486564493,0.244517668
1734523534.828765869,1,9,-7.497422771,0.160133020,0.114057934
1734523534.898765802,2,0,-0.200013959,-3.621888728,0.085970421
1734523534.898765802,2,1,3.903953298,-4.360257213,0.080783282
1734523534.898765802,2,3,-0.130147998,-7.958553699,0.011579372
1734523534.898765802,2,4,-4.124471754,-4.121306848,0.037795033
1734523534.898765802,2,5,7.471887150,0.593663873,0.261659364
1734523534.898765802,2,6,-4.491963520,-9.066743261,0.187965653
1734523534.898765802,2,7,-4.540317010,-0.008298039,-0.144025179
1734523534.898765802,2,8,4.084669003,-8.431115170,-0.010033907
1734523534.898765802,2,9,-8.065907629,-4.080762928,0.001348951
1734523534.958765745,3,0,-0.134757203,4.197334191,0.220105169
1734523534.958765745,3,1,4.051881015,4.023475386,-0.009287315
1734523534.958765745,3,2,0.144427738,8.300050743,-0.082750816
1734523534.958765745,3,4,-3.889389420,3.928365297,0.010256085
1734523534.958765745,3,5,4.049934905,8.197271281,-0.008224873
1734523534.958765745,3,6,-4.433386530,-0.196003197,-0.006231083
1734523534.958765745,3,7,-4.161057900,8.328989677,-0.046964682
1734523534.958765745,3,8,4.277470040,-0.067960949,-0.138688179
1734523534.958765745,3,9,-7.851498842,3.951092554,-0.028876113
1734523535.018765688,4,0,3.455676740,-0.078103319,0.232456287
1734523535.018765688,4,1,8.068961955,-0.053746928,0.195194655
1734523535.018765688,4,2,3.831001487,3.836897166,0.044909695
1734523535.018765688,4,3,3.847693471,-3.815098764,0.012745026
1734523535.018765688,4,5,8.156901442,4.097743316,-0.035924676
1734523535.018765688,4,6,-0.111233651,-4.003595284,0.146427292
1734523535.018765688,4,7,-0.106473758,4.045464295,0.010521585
1734523535.018765688,4,8,7.794122994,-3.960549558,-0.031872545
1734523535.018765688,4,9,-4.342355902,0.041036384,0.225599040
1734523535.088765860,5,0,-3.937024958,-3.971922047,-0.009992823
1734523535.088765860,5,1,0.514155643,-7.468109983,-0.461494593
1734523535.088765860,5,2,-4.551866192,-0.042285668,0.001146540
1734523535.088765860,5,3,-4.168738105,-8.369930705,0.050210556
1734523535.088765860,5,4,-7.574683245,-3.744372074,-0.052888995
1734523535.088765860,5,6,-7.724613642,-7.754451879,-0.158132364
1734523535.088765860,5,7,-7.941708283,-0.125867814,0.036343172
1734523535.088765860,5,8,-0.321443359,-7.912632503,0.122277640
1734523535.148765802,6,0,4.134062688,4.170380420,0.033419518
1734523535.148765802,6,1,8.103618745,4.069459686,-0.008887547
1734523535.148765802,6,2,3.858257080,7.744416783,-0.028807755
1734523535.148765802,6,3,3.998953999,0.073910763,0.224150151
1734523535.148765802,6,4,-0.242784619,3.967866197,-0.162843495
1734523535.148765802,6,5,6.672640785,6.699813758,0.168989949
1734523535.148765802,6,7,0.269113883,7.759500343,0.115930676
1734523535.148765802,6,8,8.857876725,0.032633991,-0.097509388
1734523535.148765802,6,9,-4.143889040,4.112182629,0.008561242
1734523535.218765736,7,0,4.009730850,-4.050044006,-0.047973742
1734523535.218765736,7,1,8.276886977,-4.133458491,-0.051764824
1734523535.218765736,7,2,4.198198210,-0.004134425,0.058743173
1734523535.218765736,7,3,3.978559877,-7.910752588,0.000704058
1734523535.218765736,7,4,-0.170700507,-7.496083092,-0.172045392
1734523535.218765736,7,5,7.697123568,-0.025554699,-0.224235575
1734523535.218765736,7,6,-0.040822424,-7.112494425,0.139783318
1734523535.218765736,7,8,8.212934435,-8.269030297,-0.074947515
1734523535.218765736,7,9,-3.978794303,-3.988504762,0.022723647
1734523535.278765678,8,0,-4.048069369,4.037922039,-0.013527793
1734523535.278765678,8,1,-0.058059943,3.680680192,0.079826660
1734523535.278765678,8,2,-3.688704215,7.376444412,0.028024066
1734523535.278765678,8,3,-4.047569005,0.087697413,-0.052148342
1734523535.278765678,8,4,-7.955959195,4.001040967,-0.034381045
1734523535.278765678,8,5,-0.012739802,7.794839970,0.018376923
1734523535.278765678,8,6,-8.564626753,-0.239741453,0.003572650
1734523535.278765678,8,7,-7.910214218,7.968173834,-0.071586400
1734523535.278765678,8,9,-7.065436077,2.510334074,0.166840878
1734523535.348765850,9,0,7.857098056,-0.075063042,0.228957290
1734523535.348765850,9,1,7.497259359,0.202537985,0.008970741
1734523535.348765850,9,2,7.807654393,3.912500816,-0.071367682
1734523535.348765850,9,3,7.735186497,-3.921000090,0.017064803
1734523535.348765850,9,4,3.900422610,-0.107465347,-0.244795960
1734523535.348765850,9,5,7.126961381,2.328649640,0.183881302
1734523535.348765850,9,6,3.765988337,-3.788364780,-0.008599125
1734523535.348765850,9,7,3.892556304,3.886229588,0.204468929
1734523535.348765850,9,8,7.162399508,-2.216808995,0.189185523
1734523535.418765783,0,1,4.208059246,0.029549025,-0.194359420
1734523535.418765783,0,2,0.270440327,3.958607960,-0.038689085
1734523535.418765783,0,3,-0.004451751,-3.721618557,-0.090343515
1734523535.418765783,0,4,-4.277646662,-0.023880371,-0.164440477
1734523535.418765783,0,5,3.979521500,3.900985435,0.000481495
1734523535.418765783,0,6,-3.871448534,-3.894629528,0.010973631
1734523535.418765783,0,7,-3.972534282,3.992845019,0.007489776
1734523535.418765783,0,8,4.337424932,-4.387162035,0.014985314
1734523535.418765783,0,9,-8.046655121,-0.077778198,-0.052225158
1734523535.478765726,1,0,-3.749702899,-0.008721613,0.117978629
1734523535.478765726,1,2,-3.873312390,3.896974783,0.000609592
1734523535.478765726,1,3,-3.712710591,-3.965476737,0.101874782
1734523535.478765726,1,4,-8.555274942,0.141589603,-0.080029110
1734523535.478765726,1,5,-0.057361591,3.389657151,-0.220236591
1734523535.478765726,1,6,-8.151082060,-4.071693109,-0.001056798
1734523535.478765726,1,7,-7.789143987,3.870491284,-0.061876226
1734523535.478765726,1,8,-0.173901229,-4.188624403,0.141810386
1734523535.478765726,1,9,-7.494853802,-0.133941280,-0.243364384
1734523535.548765659,2,0,0.148672127,-3.730493774,-0.105951152
1734523535.548765659,2,1,3.899604718,-3.854452065,-0.021008711
1734523535.548765659,2,3,-0.206325549,-7.496761337,-0.077454661
1734523535.548765659,2,4,-4.055740652,-4.062674230,-0.027062779
1734523535.548765659,2,5,4.033148950,0.196126501,-0.042255699
1734523535.548765659,2,6,-4.045090526,-8.163159466,-0.071370614
1734523535.548765659,2,7,-4.142956454,0.030967624,-0.081108742
1734523535.548765659,2,8,4.274679531,-8.194069589,-0.045013388
1734523535.548765659,2,9,-8.228969727,-4.059388261,0.015245009
1734523535.608765841,3,0,-0.242620896,3.816866045,-0.190943428
1734523535.608765841,3,1,3.994486185,4.036790025,-0.022354380
1734523535.608765841,3,2,0.028567858,8.688994207,0.120341579
1734523535.608765841,3,4,-3.362324972,3.365246683,0.022641942
1734523535.608765841,3,5,3.916090650,7.748857126,0.011925524
1734523535.608765841,3,6,-3.841079514,-0.268128248,-0.018344379
1734523535.608765841,3,7,-4.316088968,8.703615761,-0.042930367
1734523535.608765841,3,8,4.088512431,0.013605721,-0.226182135
1734523535.608765841,3,9,-9.088038750,4.505261708,-0.022740208
1734523535.668765783,4,0,4.055258101,0.073844390,-0.084661625
1734523535.668765783,4,1,8.082845554,0.078981043,-0.025996414
1734523535.668765783,4,2,4.052427350,4.022925551,-0.039830834
1734523535.668765783,4,3,3.968570156,-3.988939463,-0.051428735
1734523535.668765783,4,5,7.240978550,3.627831320,0.022117861
1734523535.668765783,4,6,-0.153949223,-3.936563539,-0.012978469
1734523535.668765783,4,7,-0.008363524,4.096167063,0.146617031
1734523535.668765783,4,8,7.891495621,-3.969353367,0.050255500
1734523535.668765783,4,9,-3.900239944,0.142651347,-0.054677717
1734523535.738765717,5,0,-3.746984467,-3.707231880,0.025018184
1734523535.738765717,5,1,-0.185078178,-3.775296754,-0.134267670
1734523535.738765717,5,2,-4.128523302,0.071700523,0.098255668
1734523535.738765717,5,3,-4.264100831,-8.576720370,0.007525285
1734523535.738765717,5,4,-7.918154420,-3.946440684,0.038260418
1734523535.738765717,5,6,-7.768046903,-7.804180401,0.038335180
1734523535.738765717,5,7,-7.628254056,0.045355983,-0.266555444
1734523535.738765717,5,8,-0.198244659,-7.650234728,0.095590938
1734523535.738765717,5,9,-7.124621019,-2.337471788,0.161248175
1734523535.798765659,6,0,4.084143012,4.078541100,-0.005534304
1734523535.798765659,6,1,8.849165052,4.376696439,0.024794438
1734523535.798765659,6,2,4.053344571,8.150852095,-0.008004297
1734523535.798765659,6,3,4.295422306,0.034825651,0.259895241
1734523535.798765659,6,4,0.028285404,3.892956299,-0.051123206
1734523535.798765659,6,5,7.652563398,7.573162781,-0.233044365
1734523535.798765659,6,7,-0.017127222,7.300044985,0.245425057
1734523535.798765659,6,8,6.943494141,-0.030022715,-0.142629782
1734523535.798765659,6,9,-3.532388445,3.746890569,-0.083858806
1734523535.868765831,7,0,4.100371116,-4.096265459,0.019436897
1734523535.868765831,7,1,7.943539248,-4.067123235,-0.030693541
1734523535.868765831,7,2,7.477968200,0.038492125,0.573157887
1734523535.868765831,7,3,3.983096214,-7.849930325,0.014500748
1734523535.868765831,7,4,-0.210927333,-3.680021444,-0.083975139
1734523535.868765831,7,5,7.488499847,0.405468433,-0.089249056
1734523535.868765831,7,6,0.088179115,-8.552356550,-0.176334674
1734523535.868765831,7,8,8.521121033,-8.463895043,-0.039577947
1734523535.868765831,7,9,-3.980128807,-4.000900823,0.022377353
1734523535.928765774,8,0,-3.863817042,3.892148985,0.013480142
1734523535.928765774,8,1,0.097508147,4.014403910,0.248534113
1734523535.928765774,8,2,-3.797107638,7.646616330,-0.008758352
1734523535.928765774,8,3,-4.117088490,-0.123797315,-0.145234883
1734523535.928765774,8,4,-7.182274335,3.640241296,0.133919258
1734523535.928765774,8,5,0.125820681,7.553411973,0.110009055
1734523535.928765774,8,6,-7.661577264,0.059071486,0.201190679
1734523535.928765774,8,7,-7.906182797,7.891407172,-0.094923682
1734523535.928765774,8,9,-7.114316155,2.373013350,0.072892260
1734523535.998765707,9,0,8.635917292,0.008276997,-0.172864279
1734523535.998765707,9,1,7.498971858,-0.076484626,-0.097832344
1734523535.998765707,9,2,8.003652958,3.972744023,-0.041994439
1734523535.998765707,9,3,8.213042757,-4.132345112,-0.075045135
1734523535.998765707,9,4,4.025152634,-0.072346553,0.015802969
1734523535.998765707,9,5,7.194284014,2.119013694,0.045370557
1734523535.998765707,9,6,3.747188478,-3.782492580,0.012219823
1734523535.998765707,9,7,3.873424396,3.846300218,0.007303935
1734523535.998765707,9,8,7.053988603,-2.542506283,-0.164032258
1734523536.058765650,0,1,3.919354303,0.219094887,-0.017453980
1734523536.058765650,0,2,-0.017113670,3.805465536,-0.159001721
1734523536.058765650,0,3,-0.116753969,-4.192552928,-0.204298029
1734523536.058765650,0,4,-3.873244862,-0.038773461,0.115433258
1734523536.058765650,0,5,3.862321990,3.888686210,0.002230064
1734523536.058765650,0,6,-4.166649203,-4.131868978,0.014595132
1734523536.058765650,0,7,-4.014834030,4.039883800,0.023650549
